model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,total_positives,TP,FP,TPm,FPm,FPiou
tasknet,house_matteo,0.5,30,0.5,0.75,0.5,0.38,0.5,1,155,55,2,2,0,23
filternet,house_matteo,0.5,30,0.5,0.75,0.5,0.38,0.5,0,88,61,3,0,0,2
filternet,house_matteo,0.5,30,0.5,0.75,0.5,0.38,0.5,1,155,93,8,7,0,21
tasknet,house_matteo,0.5,50,0.5,0.75,0.5,0.38,0.5,0,88,60,13,0,2,13
tasknet,house_matteo,0.5,50,0.5,0.75,0.5,0.38,0.5,1,155,58,3,2,0,24
filternet,house_matteo,0.5,50,0.5,0.75,0.5,0.38,0.5,0,88,60,3,1,0,5
filternet,house_matteo,0.5,50,0.5,0.75,0.5,0.38,0.5,1,155,106,7,14,0,36
tasknet,house_matteo,0.5,100,0.5,0.75,0.5,0.38,0.5,0,88,60,13,0,2,13
tasknet,house_matteo,0.5,100,0.5,0.75,0.5,0.38,0.5,1,155,58,3,2,0,24
filternet,house_matteo,0.5,100,0.5,0.75,0.5,0.38,0.5,0,88,68,5,6,0,8
filternet,house_matteo,0.5,100,0.5,0.75,0.5,0.38,0.5,1,155,122,11,22,0,32
tasknet,house_matteo,0.75,10,0.5,0.75,0.5,0.38,0.5,0,88,58,9,0,0,7
tasknet,house_matteo,0.75,10,0.5,0.75,0.5,0.38,0.5,1,155,32,1,0,0,10
filternet,house_matteo,0.75,10,0.5,0.75,0.5,0.38,0.5,0,88,61,3,0,0,0
filternet,house_matteo,0.75,10,0.5,0.75,0.5,0.38,0.5,1,155,47,4,1,0,12
tasknet,house_matteo,0.75,30,0.5,0.75,0.5,0.38,0.5,0,88,60,12,0,2,11
tasknet,house_matteo,0.75,30,0.5,0.75,0.5,0.38,0.5,1,155,55,2,2,0,23
filternet,house_matteo,0.75,30,0.5,0.75,0.5,0.38,0.5,0,88,65,1,0,0,2
filternet,house_matteo,0.75,30,0.5,0.75,0.5,0.38,0.5,1,155,86,2,5,0,11
tasknet,house_matteo,0.75,50,0.5,0.75,0.5,0.38,0.5,0,88,60,13,0,2,13
tasknet,house_matteo,0.75,50,0.5,0.75,0.5,0.38,0.5,1,155,58,3,2,0,24
filternet,house_matteo,0.75,50,0.5,0.75,0.5,0.38,0.5,0,88,63,3,1,0,2
filternet,house_matteo,0.75,50,0.5,0.75,0.5,0.38,0.5,1,155,113,6,14,0,30
tasknet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,0,88,60,13,0,2,13
tasknet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,1,155,58,3,2,0,24
filternet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,0,88,77,3,5,0,12
filternet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,1,155,125,2,25,0,33
