model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,AP,total_positives,TP,FP
tasknet,chemistry_floor0,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.08837284790726607,135,26,76
filternet,chemistry_floor0,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.17550153329105533,192,40,19
filternet,chemistry_floor0,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.2166334085969331,135,37,14
tasknet,chemistry_floor0,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.16609784590391524,192,48,46
tasknet,chemistry_floor0,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.0956401876715045,135,29,90
filternet,chemistry_floor0,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.19644458359611844,192,48,32
filternet,chemistry_floor0,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.3143896557913432,135,53,31
tasknet,chemistry_floor0,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.17302832494621315,192,50,46
tasknet,chemistry_floor0,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.09750257508450082,135,30,91
filternet,chemistry_floor0,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.25981628933330847,192,62,33
filternet,chemistry_floor0,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.34898003145093004,135,59,47
tasknet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.17302832494621315,192,50,46
tasknet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.09750257508450082,135,30,91
filternet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.3033855461248312,192,73,47
filternet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.3993536753758439,135,70,68
tasknet,house_matteo,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.6328658790552317,88,58,16
tasknet,house_matteo,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.19199242650298415,155,32,11
filternet,house_matteo,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.624397792876495,88,59,6
filternet,house_matteo,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.23652066338857886,155,45,19
tasknet,house_matteo,0.25,30,0.5,0.75,0.5,0.38,0.5,0,0.6409856558172662,88,60,25
tasknet,house_matteo,0.25,30,0.5,0.75,0.5,0.38,0.5,1,0.3017915392318796,155,55,27
filternet,house_matteo,0.25,30,0.5,0.75,0.5,0.38,0.5,0,0.6605492770727258,88,62,6
filternet,house_matteo,0.25,30,0.5,0.75,0.5,0.38,0.5,1,0.5084600315957842,155,93,38
tasknet,house_matteo,0.25,50,0.5,0.75,0.5,0.38,0.5,0,0.6405571600946529,88,60,28
tasknet,house_matteo,0.25,50,0.5,0.75,0.5,0.38,0.5,1,0.3146185959805047,155,58,29
filternet,house_matteo,0.25,50,0.5,0.75,0.5,0.38,0.5,0,0.6368231162814184,88,65,14
filternet,house_matteo,0.25,50,0.5,0.75,0.5,0.38,0.5,1,0.604704185658795,155,104,35
tasknet,house_matteo,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.6405571600946529,88,60,28
tasknet,house_matteo,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.3146185959805047,155,58,29
filternet,house_matteo,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.6722690117237704,88,71,33
filternet,house_matteo,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.6213778738598865,155,112,63
tasknet,house_matteo,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.6328658790552317,88,58,16
tasknet,house_matteo,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.19199242650298415,155,32,11
filternet,house_matteo,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.6183330278592376,88,58,4
filternet,house_matteo,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.27469382550714266,155,47,18
tasknet,house_matteo,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.6409856558172662,88,60,25
tasknet,house_matteo,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.3017915392318796,155,55,27
filternet,house_matteo,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.6496657754010703,88,61,5
filternet,house_matteo,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.52444940887407,155,93,36
tasknet,house_matteo,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.6405571600946529,88,60,28
tasknet,house_matteo,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.3146185959805047,155,58,29
filternet,house_matteo,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.656105685940546,88,61,8
filternet,house_matteo,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.5888924883398466,155,107,56
tasknet,house_matteo,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.6405571600946529,88,60,28
tasknet,house_matteo,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.3146185959805047,155,58,29
filternet,house_matteo,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.6795936792873065,88,68,19
filternet,house_matteo,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.6746877191755416,155,123,64
tasknet,house_matteo,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.6328658790552317,88,58,16
tasknet,house_matteo,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.19199242650298415,155,32,11
filternet,house_matteo,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.6622869318181822,88,61,3
filternet,house_matteo,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.257978894616801,155,47,17
tasknet,house_matteo,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.6409856558172662,88,60,25
tasknet,house_matteo,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.3017915392318796,155,55,27
filternet,house_matteo,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.7189620081411116,88,65,3
filternet,house_matteo,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.5269111617240715,155,86,18
tasknet,house_matteo,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.6405571600946529,88,60,28
tasknet,house_matteo,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.3146185959805047,155,58,29
filternet,house_matteo,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.6666109625668444,88,63,6
filternet,house_matteo,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.6205778584129702,155,113,50
tasknet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.6405571600946529,88,60,28
tasknet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.3146185959805047,155,58,29
filternet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.7696409227434539,88,77,20
filternet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.7165272827650184,155,125,60
