relabeling,rescoring,suppression,model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,total_positives,TP,FP,TPm,FPm,FPiou
0,0,0,tasknet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,111,24,2,0,0,17
0,0,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,124,57,15,0,1,8
0,0,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,111,25,3,0,0,20
0,0,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,124,57,14,0,1,6
0,0,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,111,25,3,0,0,14
0,1,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,124,61,15,0,0,6
0,1,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,111,26,3,1,0,11
0,1,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,124,61,15,0,0,6
0,1,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,111,26,3,1,0,11
1,0,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,124,54,3,0,0,3
1,0,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,111,36,6,1,0,12
1,0,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,124,54,3,0,0,3
1,0,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,111,35,6,1,0,12
1,1,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,124,56,3,0,0,3
1,1,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,111,36,8,1,0,12
1,1,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,124,56,3,0,0,3
1,1,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,111,36,8,1,0,12
0,0,0,tasknet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,124,62,20,0,1,7
0,0,0,tasknet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,111,35,4,0,0,24
0,0,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,124,67,23,0,1,14
0,0,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,111,38,5,0,0,36
0,0,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,124,66,23,0,1,9
0,0,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,111,38,5,0,0,18
0,1,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,124,70,26,0,2,13
0,1,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,111,40,6,0,0,15
0,1,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,124,70,26,0,2,12
0,1,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,111,40,6,0,0,15
1,0,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,124,63,4,0,0,3
1,0,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,111,53,7,0,0,9
1,0,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,124,63,4,0,0,3
1,0,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,111,53,7,0,0,9
1,1,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,124,67,4,0,0,6
1,1,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,111,59,8,1,0,10
1,1,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,124,67,4,0,0,6
1,1,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,111,59,8,1,0,10
0,0,0,tasknet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,124,63,20,0,1,8
0,0,0,tasknet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,111,37,4,0,0,25
0,0,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,124,69,25,0,1,20
0,0,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,111,42,5,0,0,42
0,0,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,124,66,25,0,1,12
0,0,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,111,42,5,0,0,20
0,1,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,124,73,31,0,4,16
0,1,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,111,43,7,4,0,33
0,1,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,124,73,31,0,4,12
0,1,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,111,43,7,4,0,28
1,0,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,124,59,4,0,0,3
1,0,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,111,60,11,1,0,14
1,0,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,124,58,4,0,0,2
1,0,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,111,60,12,1,0,14
1,1,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,124,62,4,0,0,10
1,1,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,111,66,16,7,0,16
1,1,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,124,61,4,0,0,9
1,1,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,111,66,17,7,0,14
0,0,0,tasknet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,124,63,20,0,1,8
0,0,0,tasknet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,111,37,4,0,0,26
0,0,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,124,69,25,0,1,20
0,0,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,111,42,5,0,0,43
0,0,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,124,66,25,0,1,9
