relabeling,rescoring,suppression,model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,AP,total_positives,TP,FP
0,1,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.4841591763200885,124,74,43
0,1,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.2992305308857278,111,45,38
1,0,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.46034562974706283,124,59,9
1,0,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.39942962560542633,111,61,32
1,0,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.45398050842577864,124,58,8
1,0,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.39942962560542633,111,61,32
1,1,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.45080050113578574,124,63,14
1,1,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.3855205210332159,111,63,53
1,1,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.4452839378248341,124,62,13
1,1,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.38878164808187066,111,63,52
0,0,0,tasknet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
0,0,0,tasknet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.24253993506548308,111,38,29
0,0,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.47239951953719783,124,69,46
0,0,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.2647617749343817,111,43,47
0,0,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.4569169139895525,124,66,37
0,0,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.29865306002943187,111,43,25
0,1,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.464000614176122,124,77,86
0,1,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.33758443224267703,111,51,44
